Truck,Name,Drive,Displacement,Cylinders,Transmission,CityMPG
1,C1500 SILVERADO,2WD,4.3,6,Auto,15
2,C1500 SILVERADO,2WD,4.3,6,Manual,15
3,C1500 SILVERADO,2WD,4.8,8,Auto,15
4,C1500 SILVERADO,2WD,4.8,8,Manual,16
5,C1500 SILVERADO,2WD,5.3,8,Auto,11
6,C1500 SILVERADO,2WD,5.3,8,Auto,15
7,C1500 SILVERADO,2WD,5.3,8,Auto,15
8,SSR PICKUP,2WD,5.3,8,Auto,15
9,CHEVY C2500 SILVERADO,2WD,6,8,Auto,10
10,CHEVY C2500 SILVERADO,2WD,6,8,Auto,10
11,C1500 SIERRA,2WD,4.3,6,Auto,16
12,C1500 SIERRA,2WD,4.3,6,Manual,15
13,C1500 SIERRA,2WD,4.8,8,Auto,15
14,C1500 SIERRA,2WD,4.8,8,Manual,16
15,C1500 SIERRA,2WD,5.3,8,Auto,11
16,C1500 SIERRA,2WD,5.3,8,Auto,15
17,C1500 SIERRA,2WD,5.3,8,Auto,15
18,K1500 SILVERADO,4WD,4.3,6,Auto,14
19,K1500 SILVERADO,4WD,4.3,6,Manual,14
20,K1500 SILVERADO,4WD,4.8,8,Auto,14
21,K1500 SILVERADO,4WD,4.8,8,Manual,14
22,K1500 SILVERADO,4WD,5.3,8,Auto,10
23,K1500 SILVERADO,4WD,5.3,8,Auto,13
24,K1500 SILVERADO,4WD,5.3,8,Auto,14
25,S10 PICKUP,4WD,4.3,6,Auto,15
26,S10 PICKUP,4WD,4.3,6,Manual,14
27,K1500 SIERRA,4WD,4.3,6,Auto,15
28,K1500 SIERRA,4WD,4.3,6,Manual,14
29,K1500 SIERRA,4WD,4.8,8,Auto,14
30,K1500 SIERRA,4WD,4.8,8,Manual,14
31,K1500 SIERRA,4WD,5.3,8,Auto,10
32,K1500 SIERRA,4WD,5.3,8,Auto,13
33,K1500 SIERRA,4WD,5.3,8,Auto,14
34,SONOMA,4WD,4.3,6,Auto,15
35,SONOMA,4WD,4.3,6,Manual,14
