"","F1","F2"
"1",-0.80942396949203,0.317513897011507
"2",-0.822582424722952,0.331360532896425
"3",-0.784623209193496,-0.206347507164531
"4",-0.751394417733579,-0.408951978432923
"5",-0.794035678850744,0.0984065895306107
"6",-0.784726203132511,-0.230012864603497
"7",-0.717319694122106,-0.482869334159461
"8",-0.660266596772248,-0.48540321591944
"9",-0.710818065434083,-0.00322516207244853
"10",-0.707856465414799,-0.457708111961763
"11",-0.815016123904377,0.283019280295074
"12",-0.826452732996703,0.395317153337736
"13",-0.797649027705953,0.121252122432
"14",-0.772803219343333,0.20342534340792
"15",-0.838700880823645,0.266869985804234
