"","X","BodyWgt","BrainWgt","NonD","Dream","Sleep","Span","Gest","Pred","Exp","Danger"
"2",2,1,6.6,6.3,2,8.3,4.5,42,3,1,3
"5",5,2547,4603,2.1,1.8,3.9,69,624,3,5,4
"6",6,10.55,179.5,9.1,0.7,9.8,27,180,4,4,4
"7",7,0.023,0.3,15.8,3.9,19.7,19,35,1,1,1
"8",8,160,169,5.2,1,6.2,30.4,392,4,5,4
"9",9,3.3,25.6,10.9,3.6,14.5,28,63,1,2,1
"10",10,52.16,440,8.3,1.4,9.7,50,230,1,1,1
"11",11,0.425,6.4,11,1.5,12.5,7,112,5,4,4
"12",12,465,423,3.2,0.7,3.9,30,281,5,5,5
"15",15,0.075,1.2,6.3,2.1,8.4,3.5,42,1,1,1
"16",16,3,25,8.6,0,8.6,50,28,2,2,2
"17",17,0.785,3.5,6.6,4.1,10.7,6,42,2,2,2
"18",18,0.2,5,9.5,1.2,10.7,10.4,120,2,2,2
"22",22,27.66,115,3.3,0.5,3.8,20,148,5,5,5
"23",23,0.12,1,11,3.4,14.4,3.9,16,3,1,2
"25",25,85,325,4.7,1.5,6.2,41,310,1,3,1
"27",27,0.101,4,10.4,3.4,13.8,9,28,5,1,3
"28",28,1.04,5.5,7.4,0.8,8.2,7.6,68,5,3,4
"29",29,521,655,2.1,0.8,2.9,46,336,5,5,5
"32",32,0.005,0.14,7.7,1.4,9.1,2.6,21.5,5,2,4
"33",33,0.01,0.25,17.9,2,19.9,24,50,1,1,1
"34",34,62,1320,6.1,1.9,8,100,267,1,1,1
"37",37,0.023,0.4,11.9,1.3,13.2,3.2,19,4,1,3
"38",38,0.048,0.33,10.8,2,12.8,2,30,4,1,3
"39",39,1.7,6.3,13.8,5.6,19.4,5,12,2,1,1
"40",40,3.5,10.8,14.3,3.1,17.4,6.5,120,2,1,1
"42",42,0.48,15.5,15.2,1.8,17,12,140,2,2,2
"43",43,10,115,10,0.9,10.9,20.2,170,4,4,4
"44",44,1.62,11.4,11.9,1.8,13.7,13,17,2,1,2
"45",45,192,180,6.5,1.9,8.4,27,115,4,4,4
"46",46,2.5,12.1,7.5,0.9,8.4,18,31,5,5,5
"48",48,0.28,1.9,10.6,2.6,13.2,4.7,21,3,1,3
"49",49,4.235,50.4,7.4,2.4,9.8,9.8,52,1,1,1
"50",50,6.8,179,8.4,1.2,9.6,29,164,2,3,2
"51",51,0.75,12.3,5.7,0.9,6.6,7,225,2,2,2
"52",52,3.6,21,4.9,0.5,5.4,6,225,3,2,3
"54",54,55.5,175,3.2,0.6,3.8,20,151,5,5,5
"57",57,0.9,2.6,11,2.3,13.3,4.5,60,2,1,2
"58",58,2,12.3,4.9,0.5,5.4,7.5,200,3,1,3
"59",59,0.104,2.5,13.2,2.6,15.8,2.3,46,3,2,2
"60",60,4.19,58,9.7,0.6,10.3,24,210,4,3,4
"61",61,3.5,3.9,12.8,6.6,19.4,3,14,2,1,1
